location,new_cases_per_million,new_deaths_per_million,stringency_index_cov,population_density_cov,population_cov,median_age_cov,aged_65_older_cov,aged_70_older_cov,gdp_per_capita_cov,cardiovasc_death_rate_cov,diabetes_prevalence_cov,life_expectancy_cov,human_development_index_cov,Population,Area_km2,Density_km2,Year_x,Meningitis,Neoplasms,"Fire, heat, and hot substances",Malaria,Drowning,Interpersonal violence,HIV/AIDS,Drug use disorders,Tuberculosis,Road injuries,Maternal disorders,Lower respiratory infections,Neonatal disorders,Alcohol use disorders,Exposure to forces of nature,Diarrheal diseases,Environmental heat and cold exposure,Nutritional deficiencies,Self-harm,Conflict and terrorism,Diabetes mellitus,Poisonings,Protein-energy malnutrition,Cardiovascular diseases,Chronic kidney disease,Chronic respiratory diseases,Cirrhosis and other chronic liver diseases,Digestive diseases,Acute hepatitis,Alzheimer's disease and other dementias,Parkinson's disease,Total_death_ratio,air_polution,Obesity_rate
Denmark,28121.543999999998,223.25999999999985,50.020628742515036,136.52,5813302.0,42.3,19.677,12.325,46682.515,114.767,6.41,80.9,0.94,5752126,16639.0,133.0,2019,0.0005389312,0.3214115963,0.0013038657,0.0,0.000556316,0.0007475497,0.000417237,0.0034422055,0.0004693917,0.0051111537,1.73849e-05,0.0429927995,0.0019123364,0.0142034441,0.0,0.0064671741,0.0002433883,0.001408175,0.0116130975,0.0,0.0249299129,0.0001738488,0.0008344741,0.2665101564,0.0196970651,0.0794836553,0.016602557,0.0466610085,3.47698e-05,0.0469913211,0.0104309259,0.9252057413,9.78493,19.7
Djibouti,5818.222999999992,60.868999999999986,58.54214532871989,41.285,1002197.0,25.4,4.213,2.38,2705.406,258.037,6.05,67.11,0.524,958923,8958.0,41.0,2019,0.0114712026,0.0782127449,0.0028156588,0.010115515,0.0028156588,0.0113669189,0.0941681449,0.000312851,0.0455719594,0.0167896692,0.0139740104,0.0618402103,0.0660115567,0.0012514039,0.0,0.0331622038,0.0008342693,0.0214824339,0.0078212745,0.0,0.0215867176,0.0020856732,0.020856732,0.1293117383,0.0141825777,0.0152254143,0.0235681071,0.0372292666,0.0014599712,0.0060484523,0.0015642549,0.7531365918,43.98848,13.5
Dominican Republic,15591.511000000006,220.3850000000002,75.64287581699386,222.873,10953714.0,27.6,6.981,4.419,14600.861,266.653,8.2,74.08,0.756,10627141,18607.0,221.0,2019,0.0020419415,0.1017018594,0.0013550211,4.70493e-05,0.0030017481,0.018753868,0.012816241,0.000498723,0.0070668113,0.0251055293,0.0021736796,0.0189138358,0.0311184353,0.0014208902,0.0,0.0052507067,9.40987e-05,0.004366179,0.0063140218,0.0,0.0279002603,0.0004610836,0.004008604,0.2553838328,0.0214545003,0.0182269154,0.0277120629,0.0368396354,0.0004046243,0.0153286759,0.0041968014,0.6539576355,18.14536,27.8
Ecuador,11879.829000000009,569.1919999999999,69.82637254901938,66.939,17888474.0,28.1,7.104,4.458,10581.936,140.448,5.55,77.01,0.759,17084358,98984.0,67.0,2019,0.0006906903,0.1031762505,0.0011882214,5.8533e-06,0.0033832117,0.0111622573,0.0070649421,0.0003921716,0.004302181,0.0280256361,0.0015394199,0.0318185793,0.0126724106,0.0020428043,8.19463e-05,0.0028330008,8.19463e-05,0.0042963277,0.0098218499,0.0,0.0289797252,0.0004155848,0.0036056374,0.1256353912,0.0404697677,0.0214816384,0.0228571656,0.0404346479,7.02397e-05,0.0154410251,0.0043197409,0.5282902641,20.60601,19.9
Egypt,1324.235999999998,73.19800000000008,61.08658385093153,97.999,104258327.0,25.3,5.159,2.891,10550.206,525.432,17.31,71.99,0.707,98423598,386872.0,98.0,2019,0.0007762366,0.0588619002,0.0015199607,0.0,0.000987568,0.0005202005,5.68969e-05,8.33134e-05,0.0009062867,0.0299623267,0.0007630284,0.0217132887,0.0054214641,0.0001524025,0.0,0.0086097239,4.26727e-05,0.0008290695,0.0031547312,0.0006929233,0.020805986,0.000181867,0.0006441545,0.2680993231,0.0223330588,0.0229213323,0.0636381938,0.0703245984,0.0013777184,0.0070288022,0.0024780643,0.6148870924,67.91512,32.0
El Salvador,7093.962000000003,203.57200000000003,76.45920138888872,307.811,6518500.0,27.6,8.273,5.417,7292.458,167.295,8.87,73.32,0.673,6420746,8124.0,305.0,2019,0.0008098747,0.0919675066,0.0006541296,0.0,0.0033173715,0.0474555449,0.0105906697,0.0001713197,0.0013861318,0.0199198037,0.0006852786,0.0358836808,0.0075224904,0.0136121254,0.0,0.0047969504,4.67235e-05,0.0045633327,0.0082700671,0.0,0.0351516786,0.0001713197,0.0045321836,0.1509949155,0.0635907416,0.0235798146,0.0233617714,0.0378772186,9.34471e-05,0.0263988016,0.0047502268,0.6221551203,22.34945,24.6
Eritrea,366.51700000000005,0.8330000000000001,86.90793706293704,44.304,3601462.0,19.3,3.607,2.171,1510.459,311.11,6.05,66.32,0.459,3452786,45405.0,29.0,2019,0.0200707487,0.1064068263,0.0046629012,0.0095864615,0.0046339391,0.0216636652,0.0399098004,0.0004633939,0.1353689455,0.0324086115,0.0250811953,0.1282732263,0.0915202969,0.0017956514,0.0,0.1235234388,0.001708765,0.0304391874,0.0167980292,0.0,0.0305550358,0.0042863937,0.029135892,0.1928877144,0.0191149987,0.0323506872,0.0455284515,0.0721446391,0.0034175301,0.0071826056,0.0020563105,1.2329753422,44.77914,5.0
Estonia,21121.532,172.816,39.98915915915922,31.033,1325188.0,42.7,19.452,13.491,29481.252,255.569,4.02,78.74,0.892,1322920,17462.0,29.0,2019,0.0004535422,0.2896622623,0.0040818795,0.0,0.0031747952,0.0043842409,0.0025700723,0.0096755662,0.0018141687,0.0061984096,0.0,0.0169322408,0.000831494,0.0161763372,0.0,0.0002267711,0.0040062891,0.0001511807,0.015722795,0.0,0.0105826505,0.0004535422,7.55904e-05,0.6199165482,0.0263810359,0.0229038793,0.0209385299,0.0441447707,0.0,0.0572219031,0.0095999758,1.1882804705,5.94962,21.2
Eswatini,7982.146999999996,174.8639999999999,69.00883959044369,79.492,1172369.0,21.5,3.163,1.845,7738.975,333.436,3.94,60.19,0.611,1136281,6704.0,65.0,2019,0.0064244672,0.0861582654,0.0046643392,0.0007920576,0.0045763328,0.020681504,0.2922692538,0.0003520256,0.0560600767,0.0349385407,0.0022881664,0.0634526143,0.0387228159,0.000880064,0.0,0.0423310783,0.0009680704,0.0080965888,0.0198894464,0.0,0.0600203647,0.0019361408,0.007920576,0.1336817213,0.0236737216,0.0280740415,0.016721216,0.0305382207,0.0005280384,0.004840352,0.0014961088,0.9929762092,23.36699,16.5
Ethiopia,1054.18,16.286,69.89098639455761,104.957,117876226.0,19.8,3.526,2.063,1729.927,182.634,7.47,66.6,0.485,109224414,426370.0,99.0,2019,0.0103301081,0.0362556305,0.0019235626,0.0119973177,0.0015976282,0.0065690442,0.0243452897,0.0001986735,0.0273510279,0.0084340118,0.0069892799,0.0423907058,0.0708962375,0.0005923584,0.0,0.0464850285,0.0006353891,0.008229845,0.0051774139,0.0001510651,0.0117858266,0.0024014778,0.0078764442,0.0704741707,0.0090272858,0.012567703,0.0208488187,0.032213494,0.0014886782,0.0058897089,0.0011261219,0.4862493471,33.83347,4.5
Fiji,54.278,2.216,54.223798219584594,49.562,902899.0,28.6,6.224,3.284,8702.975,412.82,14.49,67.44,0.743,883483,7055.0,48.0,2019,0.0014714488,0.0916825791,0.0029428976,0.0,0.0066781138,0.0039615929,0.0010186953,0.0003395651,0.0045275348,0.0101869532,0.0016978255,0.0244486878,0.0169782554,0.0002263767,0.0,0.0122243439,0.0001131884,0.002150579,0.009507823,0.0,0.1952499369,0.0002263767,0.0020373906,0.2990436715,0.0330510038,0.0466336081,0.0098473881,0.0204870948,0.0002263767,0.008262751,0.0049802882,0.8102023468,10.85933,30.2
Finland,6564.467000000001,106.678,42.05517751479277,18.136,5548361.0,42.8,21.228,13.264,40585.721,153.507,5.76,81.91,0.938,5522576,130059.0,16.0,2019,0.0002897199,0.2624680946,0.0012675244,0.0,0.0018831792,0.0015029218,9.05375e-05,0.0052692801,0.0009959121,0.0048165928,3.6215e-05,0.0140333062,0.0006880847,0.0102307329,0.0,0.0009234821,0.0017745342,0.0002172899,0.0158078404,0.0,0.008981316,0.0001991824,0.000108645,0.459622466,0.0127838893,0.0369936059,0.0208598306,0.0468802964,3.6215e-05,0.0593925733,0.0131641466,0.9813174142,5.63829,22.2
France,40457.188,958.7970000000005,57.91755102040823,122.578,67422000.0,42.0,19.718,13.079,38605.671,86.06,4.77,82.66,0.901,64990511,212934.0,118.0,2019,0.0003477431,0.3036027829,0.0010509226,0.0,0.0014525197,0.0008278132,0.0007031796,0.0028296439,0.0016202365,0.0065194133,7.07796e-05,0.0355374956,0.0017571796,0.0057669957,0.0,0.0024726687,0.0028850366,0.0072841403,0.0169470894,0.0,0.019704415,0.0003277402,0.0070487213,0.2561850914,0.0195413143,0.0339434168,0.016497793,0.0457959163,2.9235e-05,0.070791873,0.0123048732,0.8738460296,11.36678,21.6
Gabon,4199.963,28.093,75.23399317406178,7.859,2278829.0,23.1,4.45,2.976,16562.413,259.967,7.2,66.47,0.703,2119275,103347.0,8.0,2019,0.0040579915,0.0677590214,0.0014155784,0.0337379528,0.0011796487,0.003586132,0.052612332,0.0004718595,0.0223661394,0.024489507,0.0037748758,0.0328886058,0.0239232756,0.000896533,0.0,0.0126458341,0.0002831157,0.0032086445,0.0081159831,9.43719e-05,0.0289721721,0.0010852768,0.0029727147,0.1198994939,0.0173172429,0.014533272,0.0187328214,0.0284531267,0.0004246735,0.0078800533,0.0020289958,0.5398072454,37.43801,15.0
Gambia,1526.768000000001,49.85400000000004,65.53589655172382,207.566,2486937.0,17.5,2.339,1.417,1561.767,331.43,1.91,62.05,0.496,2280094,4361.0,202.0,2019,0.0092978623,0.0469278898,0.0019736028,0.0279374447,0.0016227401,0.0006578676,0.0472787525,0.0001315735,0.0316653612,0.0113591808,0.0127626317,0.0536381395,0.0501295122,0.0006140098,0.0,0.024253386,0.0004824363,0.0050875096,0.0056576615,0.0,0.0144730875,0.0013595931,0.0047366468,0.11416196,0.0135959307,0.0185957246,0.0156572492,0.0274111506,0.0009210147,0.0067541075,0.0021490342,0.5512930607,58.2145,10.3
Georgia,57143.963,629.4260000000002,68.77564516129033,65.032,3979773.0,38.7,14.864,10.244,9745.079,496.218,7.11,73.77,0.812,4002942,26911.0,57.0,2019,0.0005246141,0.2080219998,0.0029478319,0.0,0.0019985301,0.0031227033,0.0005745774,0.0006495223,0.0043717846,0.0173122668,0.0004746509,0.0191109439,0.006944892,0.0010492283,0.0,0.0003747244,0.000599559,0.0002498163,0.0078192489,0.0,0.0343247541,0.0004996325,9.99265e-05,0.7421791273,0.017637028,0.030527547,0.0390212998,0.053435698,0.000199853,0.0429933784,0.0075944143,1.2446595529,18.24743,21.7
Germany,20821.443999999996,402.77100000000036,55.7258823529414,237.016,83900471.0,46.6,21.453,15.957,45229.245,156.139,8.31,81.33,0.947,83124418,137891.0,233.0,2019,0.0002598514,0.3297322334,0.0008156448,0.0,0.0005594024,0.0007422608,0.0005064697,0.0020186608,0.0005557934,0.0053750752,4.21056e-05,0.0301908881,0.0013209115,0.0076740387,1.203e-06,0.0051693595,0.0001804524,0.0009407585,0.0140319779,0.0,0.0269030455,0.0001190986,0.0007410578,0.4382406623,0.0423702215,0.054334215,0.0246522027,0.0582500319,4.33086e-05,0.059617861,0.0154888302,1.1208776223,11.92769,22.3
Ghana,1726.049,10.572000000000008,51.548566552901,126.719,31732128.0,21.1,3.385,1.948,4227.63,298.245,4.97,64.07,0.611,29767102,92098.0,125.0,2019,0.0117142744,0.0621793818,0.002055961,0.0725532502,0.0018308803,0.0026001859,0.0491179827,0.000194846,0.0343432827,0.0195047539,0.0050995895,0.0547785942,0.0537976455,0.0007760245,0.0,0.0220444704,0.0004400831,0.0066281225,0.0069371886,6.71883e-05,0.0207376586,0.001454626,0.00624179,0.1332007395,0.0157186951,0.0199481965,0.0205764068,0.0343634392,0.0009574328,0.0065239807,0.0016461125,0.6680327833,54.4758,10.9
Greece,13388.62,466.4900000000001,63.7088817891373,83.479,10370747.0,45.3,20.396,14.524,24574.382,175.695,4.55,82.24,0.888,10522246,50949.0,80.0,2019,0.0002851102,0.334852464,0.0010263968,0.0,0.0035448706,0.0012354777,0.0002090808,0.0017676834,0.0013020034,0.0121456959,3.80147e-05,0.0566133884,0.0013305144,0.0003991543,0.0,0.0004181617,0.0002280882,9.50367e-05,0.0047518372,0.0,0.0129820192,0.0001995772,3.80147e-05,0.5314549764,0.043754917,0.0608140125,0.0129820192,0.0387274732,0.0003706433,0.0664877061,0.0148922578,1.2029465952,14.3205,24.9
Guatemala,7562.355999999996,263.7329999999997,72.74981191222604,157.834,18249868.0,22.9,4.694,3.016,7423.808,155.898,10.18,74.3,0.663,17247849,42042.0,158.0,2019,0.0014030735,0.0730815767,0.0010204171,0.0,0.0023597145,0.036485709,0.0038787445,0.0012639257,0.0024292884,0.0162049192,0.0029279013,0.0572535161,0.0164310344,0.0102563514,0.0,0.016906456,0.0002377108,0.0107085817,0.0055253267,0.0,0.0386772867,0.001420467,0.0101114058,0.0920810473,0.0348913073,0.0146626979,0.0320097886,0.0496873552,8.69674e-05,0.0112535772,0.0023539167,0.5456100642,27.81365,21.2
Guinea,1016.6480000000003,5.993999999999995,62.97013605442169,51.755,13497237.0,19.0,3.135,1.733,1998.926,336.717,2.42,61.6,0.477,12414293,94925.0,50.0,2019,0.0262600536,0.0678733779,0.0031415402,0.0913221558,0.0041162231,0.0079505132,0.0325189683,0.0001369389,0.0354107962,0.018188712,0.0179148341,0.1091403272,0.0880597872,0.0006444185,0.0,0.0518595783,0.0007733022,0.0140241575,0.0064844611,0.000104718,0.0161829594,0.0022151886,0.0135730645,0.1171794479,0.0155707619,0.0224499293,0.0191875607,0.0315362301,0.0020943601,0.0074994202,0.002126581,0.8255403671,52.82294,7.7
Guyana,8011.849000000003,207.51099999999994,74.80935593220349,3.952,790329.0,26.3,5.305,2.837,7435.047,373.159,11.62,69.91,0.682,779006,83000.0,4.0,2019,0.0007702123,0.1001275985,0.0020538995,0.0021822682,0.0080872291,0.0229780002,0.0232347376,0.0002567374,0.0078304917,0.0200255197,0.0030808492,0.0336326036,0.0246467935,0.0034659553,0.0,0.0078304917,0.0005134749,0.0062900671,0.032092179,0.0,0.072785062,0.0002567374,0.0055198548,0.31193598,0.0365850841,0.0152758772,0.0322205477,0.0504489054,0.0002567374,0.0101411286,0.0032092179,0.8377342408,20.40551,20.2
Haiti,866.3309999999994,20.45999999999999,56.135574912891904,398.448,11541683.0,24.3,4.8,2.954,1653.173,430.548,6.65,64.0,0.51,11123178,10714.0,401.0,2019,0.0089632657,0.0945503165,0.0045670401,0.0040725771,0.013080794,0.031636642,0.0531143168,0.0003775899,0.011561444,0.012280663,0.0140427493,0.0568452649,0.0526378343,0.0034432606,0.0,0.036770067,0.0014564183,0.0085676953,0.0091430704,0.0,0.0381635536,0.0015912718,0.0082260663,0.2379535777,0.0213158506,0.0307466086,0.0193379985,0.0394131965,0.0007371994,0.0068955113,0.0024813053,0.8239731487,19.32223,22.7
Honduras,12106.434,311.02200000000005,88.4039527027024,82.805,10062994.0,24.9,4.652,2.883,4541.795,240.208,7.21,75.27,0.634,9587522,43433.0,85.0,2019,0.0011368944,0.0807612228,0.0004797903,1.04302e-05,0.0023989515,0.0346387732,0.0009491504,0.0010847433,0.0058200649,0.0121616409,0.0026492768,0.0116922809,0.0168761021,0.0040573571,0.0,0.0123180943,5.21511e-05,0.0022737888,0.0025136839,0.0,0.0117548622,0.0005840925,0.0020651843,0.1566098101,0.0329907978,0.0368812713,0.0307900206,0.0590559271,0.0002294649,0.0110351768,0.0041825197,0.5380535242,22.92625,21.4
Hungary,33476.09000000002,989.926,58.25641447368406,108.043,9634162.0,43.4,18.577,11.976,26777.561,278.296,7.55,76.88,0.854,9707499,35917.0,104.0,2019,0.0005150657,0.3532629774,0.0013288696,0.0,0.0013494722,0.0014833893,0.0003811486,0.0006489828,0.0006283802,0.0082719555,0.0001030131,0.0125366997,0.0013906775,0.0055730111,0.0,0.0027607523,0.0021323721,0.0003502447,0.0195931001,0.0,0.0257223823,0.0004841618,0.000164821,0.6368066584,0.0187586937,0.0611486027,0.0361679151,0.0660623298,3.09039e-05,0.0499613752,0.0095493185,1.3171672745,16.59597,26.4
Iceland,15602.302000000012,78.64200000000002,44.98172077922088,3.404,368792.0,37.3,14.431,9.207,46482.958,117.992,5.31,82.99,0.949,336713,39768.0,3.0,2019,0.0002969888,0.194230695,0.0005939777,0.0,0.0005939777,0.0005939777,0.0002969888,0.0041578436,0.0002969888,0.0032668771,0.0,0.0302928607,0.0011879553,0.0023759106,0.0,0.0014849442,0.0002969888,0.0005939777,0.0109885867,0.0,0.0077217096,0.0002969888,0.0005939777,0.2150199131,0.0098006314,0.0329657602,0.0050488101,0.0184133075,0.0,0.0448453134,0.0109885867,0.5972445376,6.37407,21.9
India,7382.405999999998,106.94100000000002,71.99554896142418,450.419,1393409033.0,28.2,5.989,3.414,6426.674,282.28,10.39,69.66,0.645,1352642280,1269212.0,411.0,2019,0.0025680108,0.0689455752,0.0019129965,0.0024671711,0.0039955871,0.0030277037,0.0034227823,0.0006258122,0.031245068,0.0156711795,0.0030934269,0.0320602872,0.0323813625,0.0017196712,0.0001526642,0.0467488714,0.0008389506,0.0019863345,0.0144410686,5.08634e-05,0.0201892994,0.0002916514,0.0009894708,0.1903245254,0.0164804844,0.0863776785,0.019963667,0.034370802,0.0022908496,0.0095377028,0.0033493704,0.6515208884,83.30377,3.9
Indonesia,2689.2290000000003,80.113,62.18167213114741,145.725,276361788.0,29.3,5.319,3.053,11188.744,342.864,6.32,71.72,0.718,267670543,737810.0,140.0,2019,0.0017614938,0.0857486959,0.0005435787,0.0002379791,0.0018720775,0.0008446951,0.0020932449,0.0002200466,0.028598216,0.0138244573,0.0019665967,0.0165565473,0.0142432557,0.0002439566,0.0002320016,0.0222620686,4.93144e-05,0.0076018824,0.0028609797,2.12948e-05,0.0397253276,0.000351178,0.0069641582,0.2433891278,0.0157398717,0.0377068014,0.0331265439,0.0472024297,0.0020771804,0.0091085854,0.0028452888,0.6400188757,19.67376,6.9
Iran,14408.560000000001,649.4630000000001,55.626750788643456,49.831,85028760.0,32.4,5.44,3.182,19082.62,270.308,9.59,76.68,0.783,81800188,628860.0,50.0,2019,0.0007053774,0.0816526241,0.0021552518,0.0,0.0010586773,0.0027004828,0.001438872,0.003567229,0.0009999977,0.0258214565,0.0002616131,0.0124926363,0.0089816419,0.0003056228,0.0001540339,0.0011760364,8.67969e-05,0.0002811729,0.0051002328,4.64547e-05,0.0180170735,0.0009510981,0.000211491,0.2122256736,0.0153373731,0.0205806373,0.008352059,0.0140366426,0.0005696808,0.0170048509,0.0034816546,0.4597544446,39.00154,25.8
Iraq,14456.055000000002,311.153,75.69717948717953,88.125,41179351.0,20.0,3.186,1.957,15663.986,218.612,8.83,70.6,0.674,38433600,168048.0,88.0,2019,0.001111007,0.0635199409,0.002484805,0.0,0.002151763,0.0125307023,0.000213355,0.0015221057,0.0024509804,0.0145783897,0.0009158653,0.0082688065,0.0189157404,0.0001483077,2.60189e-05,0.0016365888,3.90284e-05,0.0002705966,0.0053989218,0.0046287623,0.0240856958,0.0003252363,0.000236772,0.2080263103,0.0205211065,0.0085654219,0.0070771408,0.0095125099,0.0002966155,0.0084795596,0.0021907914,0.4301288456,49.61657,30.4
Ireland,18418.769,448.9320000000003,66.27078175895747,69.874,4982904.0,38.7,13.928,8.678,67335.293,126.459,3.28,82.3,0.955,4818690,26959.0,69.0,2019,0.0002075253,0.2154942526,0.000705586,0.0,0.0009338638,0.0006640809,0.0001867728,0.0041505056,0.0006225758,0.0034449197,4.15051e-05,0.0355490808,0.0015356871,0.0019714902,0.0,0.0010168739,0.0001452677,0.0002075253,0.0090273498,0.0,0.0104177691,0.0002075253,0.0001245152,0.214726409,0.0145267697,0.0528774418,0.0080519809,0.024280458,2.07525e-05,0.0343869392,0.008446279,0.6439717019,7.84751,25.3
Israel,45556.133,357.88299999999964,66.19496835443056,402.606,9291000.0,30.6,11.733,7.359,33132.32,93.32,6.74,82.97,0.919,8381516,8522.0,380.0,2019,0.0003340684,0.1745149684,0.0005965508,0.0,0.0005607577,0.0021953069,0.0004414476,0.000751654,0.0003102064,0.0072779197,0.0001073791,0.0207480365,0.0026964096,0.000775516,0.0,0.0046053721,0.0001908963,0.0006204128,0.0065024036,7.15861e-05,0.0315813989,9.54481e-05,0.0005130337,0.1478610791,0.0329892587,0.0241841691,0.009019848,0.0246614097,3.5793e-05,0.0331324309,0.0072182646,0.5345930259,19.42415,26.1
Italy,34905.657999999996,1228.4600000000007,70.35925595238112,205.859,60367471.0,47.9,23.021,16.24,35220.084,113.151,4.78,83.51,0.892,60627291,116347.0,201.0,2019,0.0003051431,0.3167748333,0.0008296594,0.0,0.0005789472,0.000804918,0.0010242912,0.0009286247,0.0007026539,0.0086974033,2.96896e-05,0.0204412894,0.0009979004,0.0005789472,0.0,0.0016692153,0.000296896,0.0012750034,0.0071172568,0.0,0.0356110254,0.0001385515,0.0009319235,0.3900998974,0.0272369089,0.051701139,0.0205353065,0.0470464696,0.0001418503,0.080430775,0.0132547568,1.030181276,15.84764,19.9
Jamaica,4313.828000000002,101.56500000000001,73.90952702702687,266.879,2973462.0,31.4,9.684,6.39,8193.571,206.537,11.28,74.47,0.734,2934847,4244.0,267.0,2019,0.0007155399,0.1478100903,0.0006473932,0.0,0.0004429532,0.0143107971,0.0142426505,0.00020444,0.0003407333,0.0062354187,0.0009540531,0.0161848301,0.0136293306,0.0003066599,0.0,0.0014992264,3.40733e-05,0.0022147662,0.0030325261,0.0,0.0817419102,0.00010222,0.0019762529,0.2200114691,0.0319948536,0.0218750756,0.0063035654,0.018263303,6.81467e-05,0.0265771947,0.0050769256,0.6367963986,16.24505,24.7
Japan,1870.2559999999996,27.724999999999984,34.46956521739131,347.778,126050796.0,48.2,27.049,18.493,39002.223,79.37,5.72,84.63,0.919,127202192,145919.0,337.0,2019,0.000319963,0.3478509238,0.0012712045,0.0,0.0061901449,0.0005628834,0.0001265701,0.0003852135,0.0030282497,0.005378052,3.1446e-05,0.0933954031,0.0003687043,0.0005267205,6.2892e-05,0.0028851704,0.001677644,0.0014402268,0.0194752933,0.0,0.0069055414,0.0002468511,0.0010966792,0.292827501,0.0356314614,0.0438624517,0.0206348645,0.0477987046,8.17596e-05,0.1296156909,0.0131680121,1.0768462229,13.64744,4.3
Jordan,28677.905,373.35299999999995,70.17881578947355,109.285,10269022.0,23.2,3.81,2.361,8337.49,208.257,11.75,74.53,0.729,9965318,34490.0,112.0,2019,0.0008328886,0.0566263917,0.0019668213,0.0,0.0012944895,0.0035322506,0.0002709397,0.0001705916,0.0002910093,0.012663921,0.000762645,0.010576682,0.0158248839,0.0001705916,0.0,0.0006823666,3.01044e-05,0.0001806264,0.0026090487,4.01392e-05,0.0206014499,0.0006020882,0.0001605568,0.1183906023,0.0181930973,0.0085897911,0.0064624129,0.0110583526,0.0001103828,0.0076966937,0.0019266821,0.302318501,30.12999,35.5
Kazakhstan,10592.072999999995,144.72999999999996,78.64367346938778,6.681,18994958.0,30.6,6.991,4.625,24055.588,466.792,7.11,73.6,0.825,18319618,1052084.0,7.0,2019,0.0007423736,0.1150296911,0.0024945935,0.0,0.0049564352,0.0095635182,0.0014247022,0.0040885132,0.0041922272,0.0151804475,0.000294766,0.0219054786,0.0086955962,0.0092851281,0.0,0.0003220591,0.0040448442,0.0006604941,0.0233356394,0.0,0.0141269321,0.0025437212,0.0004585248,0.3569452158,0.0102240123,0.0533417236,0.0366001081,0.0485599645,0.0001146312,0.0126585609,0.0040448442,0.7658347461,21.045,21.0
Kenya,1754.2409999999995,30.37,69.55873754152826,87.324,54985702.0,20.0,2.686,1.528,2993.028,218.637,2.92,66.7,0.601,51392565,228555.0,87.0,2019,0.0085537665,0.0453217309,0.0016130738,0.0156617986,0.0011947253,0.0089623859,0.0994988283,0.0001790142,0.0326525831,0.008940982,0.007329854,0.0418426284,0.0356413423,0.0006615743,0.0,0.0361219566,0.000472831,0.0089779524,0.0061390203,0.0001323149,0.0120289773,0.0016461525,0.0086821897,0.079021158,0.0092698234,0.014992441,0.0254803394,0.0403735443,0.0028720108,0.0052634073,0.001208346,0.5607367525,21.53547,7.1
Kuwait,34788.52600000001,215.75400000000013,76.34602564102536,232.128,4328553.0,33.7,2.345,1.114,65530.537,132.235,15.84,75.49,0.806,4137312,6880.0,232.0,2019,0.0002900434,0.039953477,0.0008217896,0.0,0.0005559165,0.0010151519,7.25108e-05,0.0005559165,0.0006284273,0.0140912747,7.25108e-05,0.0161457487,0.0049790782,0.0002417028,0.0,0.0001450217,7.25108e-05,2.41703e-05,0.0032629881,0.0,0.0088221531,0.0004592354,0.0,0.0995573938,0.007782831,0.005559165,0.0049307376,0.0081695555,2.41703e-05,0.0102723701,0.0014018764,0.2299077275,62.67314,37.9
Kyrgyzstan,12225.376999999993,204.42500000000018,71.06079584775091,32.333,6628347.0,26.3,4.489,2.882,3393.474,436.362,7.11,71.45,0.697,6304030,77200.0,32.0,2019,0.000602789,0.065830905,0.0012690295,0.0,0.0042036602,0.004711272,0.0026966877,0.0009993607,0.0064244618,0.0156566514,0.0009041835,0.0122461346,0.0207327694,0.0063927361,0.0,0.0014911097,0.0016497383,0.0001427658,0.0095177212,0.0,0.0051078437,0.0012214409,0.0001110401,0.2773146701,0.0077569428,0.0240005203,0.0339941276,0.03937164,0.0002855316,0.0114688541,0.0018242299,0.557928817,24.60486,16.6
Laos,5.562000000000001,0.0,44.447208480565386,29.715,7379358.0,24.4,4.029,2.322,6397.36,368.111,4.0,67.92,0.613,7061507,91428.0,30.0,2019,0.0022941279,0.0704523836,0.0011612252,0.0003257095,0.0055087391,0.0079303186,0.0052963199,0.0002407418,0.0296395656,0.0155207663,0.0044608042,0.0480350724,0.0430927846,0.0009912898,0.0002265805,0.0158181533,0.0001699354,0.0028464179,0.0060893517,0.0,0.0219924727,0.0004248385,0.0024923858,0.1915030319,0.0242441167,0.037711497,0.0180273134,0.0348934016,0.0005239675,0.0074913188,0.0021383538,0.6015429851,20.76857,5.3
Latvia,21909.736000000004,340.14099999999996,49.936483870967855,31.212,1866934.0,43.9,19.754,14.136,25063.846,350.06,4.91,75.29,0.866,1928459,24927.0,30.0,2019,0.000414839,0.2904391537,0.0058596009,0.0,0.0063262947,0.007052263,0.0061188752,0.0026445986,0.0027483084,0.0098005713,0.0001037097,0.0181492062,0.0014000816,0.0147786393,0.0,0.0002074195,0.0055484716,0.0002592744,0.0203271109,0.0,0.0173713831,0.0007778231,5.18549e-05,0.8182180695,0.0136378321,0.0224531608,0.0201196914,0.0490028567,5.18549e-05,0.0534623759,0.0098524262,1.3971777466,12.7076,23.6
Lebanon,26813.260000000002,216.86000000000004,69.09536507936517,594.561,6769151.0,31.1,8.514,5.43,13367.565,266.591,12.71,78.93,0.744,6859408,4036.0,656.0,2019,0.0004956696,0.1092368321,0.0013120666,0.0,0.0008018185,0.0031489598,0.0008892896,0.0018514717,0.0006122977,0.0064291262,0.0002478348,0.013266451,0.005831407,0.0002186778,4.37356e-05,0.0008892896,4.37356e-05,0.0002186778,0.0025658191,0.0002040992,0.0125229466,0.0005102481,0.0001749422,0.2380526133,0.0172026507,0.0172755433,0.0086887965,0.0139807983,0.0020701495,0.0182960395,0.003294745,0.4803767322,29.04762,32.0
