location,new_cases_per_million,new_deaths_per_million,total_deaths_per_million,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,people_vaccinated_per_hundred,population_density_cov,population_cov,median_age_cov,gdp_per_capita_cov,diabetes_prevalence_cov,life_expectancy_cov,Population,Area_km2,Density_km2,Year_x,Meningitis,Neoplasms,"Fire, heat, and hot substances",Malaria,Drowning,Interpersonal violence,HIV/AIDS,Drug use disorders,Tuberculosis,Road injuries,Maternal disorders,Lower respiratory infections,Neonatal disorders,Alcohol use disorders,Exposure to forces of nature,Diarrheal diseases,Environmental heat and cold exposure,Nutritional deficiencies,Self-harm,Conflict and terrorism,Diabetes mellitus,Poisonings,Protein-energy malnutrition,Cardiovascular diseases,Chronic kidney disease,Chronic respiratory diseases,Cirrhosis and other chronic liver diseases,Digestive diseases,Acute hepatitis,Alzheimer's disease and other dementias,Parkinson's disease,Total_death_ratio,air_polution,Obesity_rate,Number In Household,Households,1 Member,2-3 Members,4-5 Members,6+ Members,Year,smoking_ratio_both_sexes,smoking_ratio_males,smoking_ratio_females
Burundi,2165.9059999999995,2.938,2.938,0.06,0.03,0.03,423.062,12255429.0,17.5,702.225,6.05,61.58,11175374,10747.0,402.0,2019,0.0110868773,0.0472019997,0.002433923,0.0651432337,0.0029081801,0.001127479,0.0183260086,0.0001431719,0.0780376567,0.0170643059,0.0116416685,0.0578235681,0.0786908787,0.0007695492,8.94825e-05,0.0835408283,0.0007963939,0.0183260086,0.0071585971,0.0007158597,0.0130912845,0.0022549581,0.0177354243,0.0966768539,0.0093061762,0.0214668431,0.0170553576,0.0317036369,0.0018970282,0.00428621,0.0010379966,0.7195374401,33.32371,5.4,4.83,2548469,6.04,25.17,31.72,37.07,2016,12.6,18.8,6.4
Cameroon,3031.0799999999995,51.538000000000004,51.535,3.75,2.42,3.06,50.885,27224262.0,18.8,3364.926,7.2,59.29,25216267,183648.0,53.0,2019,0.0110682521,0.0565428658,0.002268377,0.0898309016,0.0024151077,0.0036325757,0.0918930625,0.0003132898,0.0259792617,0.0253844076,0.0115679295,0.0674762843,0.0622138083,0.0007415848,0.0001705248,0.0708074673,0.0005076088,0.0038268948,0.0089624686,0.0024825245,0.020570055,0.0016100718,0.003565159,0.1050552011,0.0189679146,0.0165210814,0.0163822821,0.0283031584,0.0014990324,0.0059683695,0.0019907784,0.7585183009,66.15428,11.4,4.99,4877120,15.14,22.69,24.44,37.72,2011,9.3,17.5,1.2
Canada,41880.659000000014,380.90299999999957,378.19200000000006,180.61,77.27,83.34,4.037,38067913.0,41.4,44017.591,7.37,82.43,37064562,3855081.0,4.0,2019,0.0002401215,0.2511077832,0.0008174925,0.0,0.0007770225,0.0014892932,0.0006852907,0.0068151352,0.0004020012,0.0066883294,6.74499e-05,0.0246192036,0.0024686654,0.0036719711,0.0,0.0046999072,0.0003453433,0.0009550902,0.0126778781,2.698e-06,0.0200191223,0.0003561353,0.0008147945,0.2229730922,0.0202376599,0.0496026366,0.0146824884,0.0347285906,3.23759e-05,0.0460062094,0.0111238331,0.7391076144,7.09026,29.4,2.45,15618491,28.20,49.59,19.20,3.02,2016,17.5,22.7,12.4
Chad,210.57299999999952,4.545000000000002,4.553000000000001,1.69,0.48,1.21,11.833,16914985.0,16.7,1768.153,6.1,54.24,15477729,495752.0,12.0,2019,0.029868723,0.0403806011,0.0030366212,0.046479687,0.0039992947,0.0079727459,0.0303339075,9.04525e-05,0.0451616642,0.0166432685,0.0209268427,0.1256450478,0.1120771658,0.0005685589,0.0,0.1962303384,0.0008592992,0.0158550392,0.0064350526,0.0017832073,0.0111127414,0.0023130008,0.0153510893,0.0893994203,0.0117394483,0.0178385343,0.0186461463,0.0332542326,0.0026425065,0.0046195408,0.0013503273,0.9126145057,59.42594,6.1,5.78,2811841,7.73,18.49,25.67,48.11,2015,11.8,21.3,2.3
Chile,62143.847999999976,1168.7669999999996,1165.448,230.65,86.1,90.06,24.282,19212362.0,35.4,22767.037,8.46,80.18,18729160,291931.0,25.0,2019,0.0006033373,0.1689771458,0.0018206903,0.0,0.0019007793,0.0042340393,0.0026269197,0.000379088,0.0024347061,0.0122749766,0.0002616241,0.0251105762,0.003171525,0.0028351512,3.20356e-05,0.0023973312,0.0002028922,0.0030754182,0.0107105711,0.0,0.0204066813,0.0002028922,0.0029365973,0.1607920483,0.0268992309,0.0341125817,0.0275346038,0.0449886701,2.66963e-05,0.0256498423,0.0071225832,0.5937212347,23.68317,28.0,3.58,5440715,11.43,39.22,37.11,12.24,2002,44.7,49.2,40.3
China,10.546999999999992,0.002,0.0030000000000001137,196.32,83.6,87.24,147.674,1444216102.0,38.7,15308.712,9.74,76.91,1427647786,3705387.0,149.0,2019,0.0004528428,0.1902815965,0.0007772225,0.0,0.0039592398,0.0008384421,0.0022236577,0.0008016683,0.002561276,0.0175130731,0.0001076596,0.0129768702,0.0031485357,0.0013630113,2.06634e-05,0.0003810464,0.0003478449,0.0011811737,0.0084906796,0.0,0.0121102699,0.0018971066,0.0009175232,0.3211067215,0.0137797293,0.0760182596,0.0106652356,0.0194124911,0.0002609887,0.0224645745,0.0053927867,0.7314521903,47.72902,6.2,2.7,522689264,14.53,51.23,27.6,6.64,2020,24.7,47.7,1.8
Colombia,68321.51100000006,1686.2589999999998,1680.9830000000002,126.19,55.25,74.81,44.223,51265841.0,32.2,13254.949,7.44,77.29,49661048,440829.0,43.0,2019,0.0007591463,0.0995951596,0.0004027301,0.0001107508,0.0019069271,0.0343548932,0.004933444,0.0002557336,0.0018283948,0.0149171238,0.000956484,0.0159058262,0.0085680834,0.0002496927,2.81911e-05,0.0018183265,3.22184e-05,0.0026821826,0.0054992798,0.0,0.0141922096,0.00012686,0.0025915683,0.1462494307,0.0191216263,0.0357865988,0.0080223841,0.0231509412,2.61775e-05,0.0275306313,0.0039447416,0.4755477573,22.5254,22.3,3.53,14282545,11.13,42.41,34.80,11.66,2015,7.9,12.2,3.7
Comoros,6406.6280000000115,165.46700000000013,162.079,65.46,27.7,37.75,437.352,888456.0,20.4,1413.89,11.88,64.32,832322,863.0,372.0,2019,0.0084102066,0.0653593201,0.0019223329,0.0209053708,0.0016820413,0.0080497692,0.0002402916,0.0002402916,0.0395279711,0.0181420172,0.003123791,0.054065614,0.0456554074,0.0007208749,0.0009611665,0.0334005349,0.000600729,0.0079296234,0.0049259782,0.0,0.0195837669,0.0014417497,0.0074490402,0.1373266596,0.0140570596,0.0200643501,0.0193434752,0.0359235969,0.0014417497,0.0102123938,0.0021626246,0.584869798,17.0261,7.8,5.37,141171,4.91,22.92,28.71,43.46,2012,19.5,29.9,9.2
Costa Rica,78075.66900000004,1005.6290000000005,1005.6320000000001,150.93,68.21,76.76,96.079,5139053.0,33.6,15524.995,8.78,80.28,4999441,19730.0,98.0,2019,0.0007000783,0.1209935271,0.000420047,0.0,0.0026402952,0.0100611248,0.0029203265,0.0005200581,0.0009401051,0.0168218807,0.0004000447,0.0135215117,0.0047605322,0.0016801878,0.0,0.0025802885,4.00045e-05,0.0004600514,0.0077808699,0.0,0.0115212881,0.0005600626,0.000420047,0.1332949024,0.0274430681,0.0285031867,0.0192021468,0.0355239716,6.00067e-05,0.0259028959,0.0043804897,0.4740529991,17.43615,25.7,3.46,1476628,11.23,42.7,35.83,10.25,2011,9.8,14.7,5.0
Cote d'Ivoire,1790.5620000000001,21.310999999999986,21.291,26.29,7.99,18.3,76.399,27053629.0,18.7,3601.006,2.42,57.78,25069230,124503.0,78.0,2019,0.0090110466,0.0462200076,0.0020343664,0.1172672635,0.0023175822,0.0092025164,0.0544013518,0.0001515802,0.0282657266,0.0133749621,0.0090549251,0.0677324353,0.0918656058,0.0007618902,0.0,0.0298732749,0.0005345198,0.0030156491,0.0078183494,3.98895e-05,0.0140131947,0.001463946,0.0028201903,0.08925683,0.0136980673,0.0145277697,0.0157483896,0.0264188409,0.0008775698,0.0047229213,0.0015277693,0.6780184314,55.9251,10.3,5.09,5197095,12.18,24.73,25.87,37.22,2012,13.0,24.3,1.6
Croatia,123292.58000000003,2101.364999999996,2087.8779999999997,115.88,47.86,55.35,73.726,4081657.0,44.0,22669.797,5.59,78.49,4156405,21851.0,73.0,2019,0.0004090073,0.3374069659,0.0009142516,0.0,0.0018525625,0.0011307849,0.000192474,0.0016841477,0.0012751404,0.0089500422,4.81185e-05,0.0139543668,0.0014916737,0.0064478798,0.0,0.0006977183,0.0005052443,7.21778e-05,0.0166971217,0.0,0.027283193,0.0004330666,2.40593e-05,0.5947687966,0.0222066906,0.0451832774,0.0276922004,0.0537483715,2.40593e-05,0.0521123423,0.0118371525,1.2290428868,18.22689,24.4,2.8,1451732,24.56,44.43,25.28,5.73,2011,36.6,37.9,35.3
Cyprus,160399.76700000017,571.3929999999999,569.194,172.0,67.84,71.53,127.657,896005.0,37.3,32415.132,9.24,80.98,1189265,3572.0,129.0,2019,0.0002522566,0.1926399919,0.0007567699,0.0,0.0021862243,0.0017657965,0.0004204277,0.0014294543,0.0004204277,0.0112674635,0.0,0.0142104577,0.0021021387,0.0007567699,0.0,0.0018498821,0.0002522566,0.0005885988,0.0056337318,0.0,0.0412019188,0.0002522566,0.0005045133,0.2616742274,0.0281686588,0.0454902818,0.0117719768,0.0306071397,8.40855e-05,0.0272437178,0.0079040416,0.6914354664,15.7934,21.8,2.75,318823,18.72,52.55,25.82,2.92,2011,36.7,50.1,23.3
Democratic Republic of Congo,616.4300000000003,6.647000000000006,6.603000000000001,0.36,0.13,0.28,35.879,92377986.0,17.0,808.133,6.1,60.68,84068091,905350.0,36.0,2019,0.00731193,0.04384779,0.0016712643,0.0679925038,0.002335012,0.0034388791,0.0121782235,0.0002581241,0.0548900296,0.0351417519,0.0120366716,0.0531069511,0.0511204661,0.000799352,0.0,0.0404469753,0.0003854019,0.0075593485,0.0071132815,0.0019389045,0.0135057188,0.0015083012,0.0071715676,0.1069442626,0.0095565391,0.0237866707,0.0171206457,0.029179918,0.0012216288,0.0052148204,0.0010277383,0.6198106723,36.27272,9.6,5.3,19225670,7.25,21.19,27.81,43.74,2013,16.1,30.1,2.0
Democratic Republic of Congo,616.4300000000003,6.647000000000006,6.603000000000001,0.36,0.13,0.28,35.879,92377986.0,17.0,808.133,6.1,60.68,84068091,905350.0,36.0,2019,0.00731193,0.04384779,0.0016712643,0.0679925038,0.002335012,0.0034388791,0.0121782235,0.0002581241,0.0548900296,0.0351417519,0.0120366716,0.0531069511,0.0511204661,0.000799352,0.0,0.0404469753,0.0003854019,0.0075593485,0.0071132815,0.0019389045,0.0135057188,0.0015083012,0.0071715676,0.1069442626,0.0095565391,0.0237866707,0.0171206457,0.029179918,0.0012216288,0.0052148204,0.0010277383,0.6198106723,36.27272,6.7,5.3,19225670,7.25,21.19,27.81,43.74,2013,16.1,30.1,2.0
Dominican Republic,22509.272000000004,167.15300000000022,167.158,128.6,52.03,63.34,222.873,10953714.0,27.6,14600.861,8.2,74.08,10627141,18607.0,221.0,2019,0.0020419415,0.1017018594,0.0013550211,4.70493e-05,0.0030017481,0.018753868,0.012816241,0.000498723,0.0070668113,0.0251055293,0.0021736796,0.0189138358,0.0311184353,0.0014208902,0.0,0.0052507067,9.40987e-05,0.004366179,0.0063140218,0.0,0.0279002603,0.0004610836,0.004008604,0.2553838328,0.0214545003,0.0182269154,0.0277120629,0.0368396354,0.0004046243,0.0153286759,0.0041968014,0.6539576355,18.14536,27.8,3.48,3004226,14.33,39.85,33.08,12.73,2013,9.4,11.2,7.5
Egypt,2360.5330000000026,134.89499999999992,134.38799999999998,50.66,19.78,31.75,97.999,104258327.0,25.3,10550.206,17.31,71.99,98423598,386872.0,98.0,2019,0.0007762366,0.0588619002,0.0015199607,0.0,0.000987568,0.0005202005,5.68969e-05,8.33134e-05,0.0009062867,0.0299623267,0.0007630284,0.0217132887,0.0054214641,0.0001524025,0.0,0.0086097239,4.26727e-05,0.0008290695,0.0031547312,0.0006929233,0.020805986,0.000181867,0.0006441545,0.2680993231,0.0223330588,0.0229213323,0.0636381938,0.0703245984,0.0013777184,0.0070288022,0.0024780643,0.6148870924,67.91512,32.0,4.13,24496076,6.48,30.40,43.12,20.00,2014,21.4,42.3,0.4
El Salvador,11571.681999999997,383.0710000000001,383.064,147.59,63.77,68.78,307.811,6518500.0,27.6,7292.458,8.87,73.32,6420746,8124.0,305.0,2019,0.0008098747,0.0919675066,0.0006541296,0.0,0.0033173715,0.0474555449,0.0105906697,0.0001713197,0.0013861318,0.0199198037,0.0006852786,0.0358836808,0.0075224904,0.0136121254,0.0,0.0047969504,4.67235e-05,0.0045633327,0.0082700671,0.0,0.0351516786,0.0001713197,0.0045321836,0.1509949155,0.0635907416,0.0235798146,0.0233617714,0.0378772186,9.34471e-05,0.0263988016,0.0047502268,0.6221551203,22.34945,24.6,4.07,1662356,8.82,34.09,36.82,20.28,2007,12.7,22.8,2.5
Estonia,160733.42300000007,1281.3240000000014,1276.045,112.15,61.64,63.56,31.033,1325188.0,42.7,29481.252,4.02,78.74,1322920,17462.0,29.0,2019,0.0004535422,0.2896622623,0.0040818795,0.0,0.0031747952,0.0043842409,0.0025700723,0.0096755662,0.0018141687,0.0061984096,0.0,0.0169322408,0.000831494,0.0161763372,0.0,0.0002267711,0.0040062891,0.0001511807,0.015722795,0.0,0.0105826505,0.0004535422,7.55904e-05,0.6199165482,0.0263810359,0.0229038793,0.0209385299,0.0441447707,0.0,0.0572219031,0.0095999758,1.1882804705,5.94962,21.2,2.3,578440,33.90,47.28,17.14,1.67,2011,30.5,36.9,24.1
Ethiopia,2508.480000000001,42.39000000000001,42.358000000000004,9.26,1.33,7.93,104.957,117876226.0,19.8,1729.927,7.47,66.6,109224414,426370.0,99.0,2019,0.0103301081,0.0362556305,0.0019235626,0.0119973177,0.0015976282,0.0065690442,0.0243452897,0.0001986735,0.0273510279,0.0084340118,0.0069892799,0.0423907058,0.0708962375,0.0005923584,0.0,0.0464850285,0.0006353891,0.008229845,0.0051774139,0.0001510651,0.0117858266,0.0024014778,0.0078764442,0.0704741707,0.0090272858,0.012567703,0.0208488187,0.032213494,0.0014886782,0.0058897089,0.0011261219,0.4862493471,33.83347,4.5,4.61,21850103,7.52,27.01,32.00,33.47,2016,4.6,8.3,0.9
Fiji,59013.258000000016,770.8639999999991,770.85,140.33,67.07,73.26,49.562,902899.0,28.6,8702.975,14.49,67.44,883483,7055.0,48.0,2019,0.0014714488,0.0916825791,0.0029428976,0.0,0.0066781138,0.0039615929,0.0010186953,0.0003395651,0.0045275348,0.0101869532,0.0016978255,0.0244486878,0.0169782554,0.0002263767,0.0,0.0122243439,0.0001131884,0.002150579,0.009507823,0.0,0.1952499369,0.0002263767,0.0020373906,0.2990436715,0.0330510038,0.0466336081,0.0098473881,0.0204870948,0.0002263767,0.008262751,0.0049802882,0.8102023468,10.85933,30.2,4.57,194497,5.94,30.10,34.31,29.64,2014,26.7,42.3,11.1
Finland,42202.18299999998,201.10600000000025,200.60000000000002,173.33,73.63,77.05,18.136,5548361.0,42.8,40585.721,5.76,81.91,5522576,130059.0,16.0,2019,0.0002897199,0.2624680946,0.0012675244,0.0,0.0018831792,0.0015029218,9.05375e-05,0.0052692801,0.0009959121,0.0048165928,3.6215e-05,0.0140333062,0.0006880847,0.0102307329,0.0,0.0009234821,0.0017745342,0.0002172899,0.0158078404,0.0,0.008981316,0.0001991824,0.000108645,0.459622466,0.0127838893,0.0369936059,0.0208598306,0.0468802964,3.6215e-05,0.0593925733,0.0131641466,0.9813174142,5.63829,22.2,2.07,2652262,41.01,44.46,12.97,1.57,2010,19.7,21.0,18.3
France,114010.74600000007,875.4939999999996,873.187,183.95,73.47,78.76,122.578,67422000.0,42.0,38605.671,4.77,82.66,64990511,212934.0,118.0,2019,0.0003477431,0.3036027829,0.0010509226,0.0,0.0014525197,0.0008278132,0.0007031796,0.0028296439,0.0016202365,0.0065194133,7.07796e-05,0.0355374956,0.0017571796,0.0057669957,0.0,0.0024726687,0.0028850366,0.0072841403,0.0169470894,0.0,0.019704415,0.0003277402,0.0070487213,0.2561850914,0.0195413143,0.0339434168,0.016497793,0.0457959163,2.9235e-05,0.070791873,0.0123048732,0.8738460296,11.36678,21.6,2.22,30217950,35.46,46.84,16.08,1.62,2015,34.6,36.0,33.2
