location,new_cases_per_million,new_deaths_per_million,stringency_index_cov,population_density_cov,population_cov,median_age_cov,aged_65_older_cov,aged_70_older_cov,gdp_per_capita_cov,cardiovasc_death_rate_cov,diabetes_prevalence_cov,life_expectancy_cov,human_development_index_cov,Population,Area_km2,Density_km2,Year_x,Meningitis,Neoplasms,"Fire, heat, and hot substances",Malaria,Drowning,Interpersonal violence,HIV/AIDS,Drug use disorders,Tuberculosis,Road injuries,Maternal disorders,Lower respiratory infections,Neonatal disorders,Alcohol use disorders,Exposure to forces of nature,Diarrheal diseases,Environmental heat and cold exposure,Nutritional deficiencies,Self-harm,Conflict and terrorism,Diabetes mellitus,Poisonings,Protein-energy malnutrition,Cardiovascular diseases,Chronic kidney disease,Chronic respiratory diseases,Cirrhosis and other chronic liver diseases,Digestive diseases,Acute hepatitis,Alzheimer's disease and other dementias,Parkinson's disease,Total_death_ratio,air_polution,Obesity_rate,Number In Household,Households,1 Member,2-3 Members,4-5 Members,6+ Members,Year,smoking_ratio_both_sexes,smoking_ratio_males,smoking_ratio_females
Thailand,98.33800000000002,0.8690000000000003,46.38520661157019,135.132,69950844.0,40.1,11.373,6.89,16277.671,109.861,7.04,77.15,0.777,69428453,198116.0,135.0,2019,0.0014936239,0.1664216831,0.0009895079,1.4403e-06,0.0065088588,0.0058117383,0.0247953098,0.0007000012,0.0111985788,0.0281455213,0.0004061735,0.0447035742,0.0024370412,0.0009131703,1.00823e-05,0.0089459,6.33746e-05,0.001428809,0.0102364372,8.64199e-05,0.0281872909,0.0002232514,0.0013452698,0.1668336179,0.0395313432,0.0344599353,0.0282348218,0.0470052242,0.000277984,0.0310434686,0.0058794339,0.6983188866,27.32291,10.0,3.69,18042640,18.36,44.71,28.16,8.77,2010,22.8,42.5,3.1
Timor,32.738,0.0,38.947929824561555,87.176,1343875.0,18.0,3.556,1.897,6570.102,335.346,6.86,69.5,0.606,1267974,5760.0,85.0,2019,0.0024448451,0.0649855596,0.0010252576,0.0,0.005441752,0.0029180409,0.018770101,0.0001577319,0.0235809252,0.0125396893,0.0048896902,0.0473984482,0.0413257685,0.0005520618,0.0,0.0185335031,0.0001577319,0.0051262881,0.0049685561,0.0,0.0150634004,0.0003154639,0.0045742263,0.1939314213,0.0183757711,0.0406948407,0.0165618538,0.0339912333,0.0004731958,0.008044329,0.0024448451,0.5892865311,15.75327,3.8,5.27,246665,6.41,20.61,29.59,43.4,2016,38.2,65.8,10.7
Togo,428.5240000000002,8.024000000000003,56.567326732673166,143.366,8478242.0,19.4,2.839,1.525,1429.813,280.033,6.15,61.04,0.515,7889093,21925.0,139.0,2019,0.0079223302,0.0485733911,0.0019393864,0.0689052595,0.0018633321,0.0070857322,0.0437059114,0.0002281631,0.0269232471,0.0184178333,0.0069843263,0.0552154728,0.0572689408,0.0006718136,0.0,0.0741276595,0.0004816777,0.0030041476,0.0074913555,0.0,0.0132588119,0.0013182758,0.0027886602,0.105981765,0.0127264313,0.0168840702,0.0161235265,0.0295344471,0.0010901126,0.0050702914,0.0014070058,0.6369933781,46.12588,8.4,4.55,1693139,15.65,26.22,27.69,30.45,2014,7.6,13.5,1.6
Turkey,16290.949000000002,245.52200000000002,63.932195945945985,104.914,85042736.0,31.6,8.153,5.061,25129.341,171.285,12.13,77.69,0.82,82340088,302533.0,105.0,2019,0.0004262808,0.1272964391,0.0005088651,0.0,0.0008428458,0.0019492328,0.0002744714,0.000418994,0.0010116579,0.0094109688,0.000344911,0.0180568182,0.0084321017,0.0002914741,0.0,0.0008889959,5.34369e-05,0.0012666977,0.0031394186,0.0003752729,0.0239239482,0.0005501573,0.000835559,0.2145528433,0.0233094237,0.0400546086,0.0089251787,0.0171435328,0.0001578818,0.0239506667,0.0046611561,0.5330538389,26.85069,32.01,4.07,20424610,6.37,36.23,39.03,18.36,2004,29.3,41.5,17.0
Uganda,747.3169999999999,5.309999999999997,75.54657342657372,213.759,47123533.0,16.4,2.168,1.308,1697.707,213.333,2.5,63.37,0.544,42729036,93262.0,177.0,2019,0.0092232364,0.0506634411,0.0014416426,0.05286101,0.001757587,0.0055653022,0.0485899097,0.0001076551,0.0324978078,0.01301925,0.0049638377,0.0386084067,0.0724448827,0.0006108259,0.0,0.0256383037,0.00035573,0.0092138751,0.0050714928,0.0001427601,0.0117788756,0.0012754793,0.0089494179,0.0658779196,0.0079243538,0.0128250027,0.0121439669,0.0214257115,0.0009127283,0.0043389699,0.0009759172,0.5212052994,35.2285,5.3,4.53,9170821,13.68,25.30,28.75,32.26,2016,9.8,15.5,4.0
Ukraine,25007.507999999994,443.55800000000016,63.94269736842111,77.39,43466822.0,41.4,16.462,11.133,7894.393,539.849,7.11,72.06,0.779,44246156,233011.0,73.0,2019,0.0009017733,0.2242409488,0.0049676632,0.0,0.0077656464,0.0119309799,0.0150137336,0.0033381431,0.0091375169,0.0157753817,0.0001830668,0.0197395679,0.0029494088,0.017438803,0.0,0.0001875869,0.0061768078,0.0003141516,0.0309405409,0.0005130389,0.0063756951,0.0034782683,0.0001514256,1.0156272106,0.0060118217,0.0275300752,0.0455203385,0.0683449202,0.000162726,0.0369975643,0.0081046589,1.5898194636,14.70064,24.1,2.46,16972715,27.9,51.22,18.07,2.81,2007,25.5,41.0,9.9
United Kingdom,36533.411000000015,1078.6260000000002,61.8078571428573,272.898,68207114.0,40.8,18.517,12.527,39753.244,122.137,4.28,81.32,0.932,67141684,93627.0,277.0,2019,0.0003946877,0.2919185048,0.0005704355,0.0,0.0004468163,0.0005049024,0.0003470273,0.003952835,0.0005808612,0.0040153893,5.95755e-05,0.0623710898,0.0022102514,0.0026243012,0.0,0.0021134412,0.0001906416,0.0002368126,0.0083673802,2.9788e-06,0.009484421,0.0002010673,0.0001757478,0.2801731932,0.011581479,0.0772679458,0.0149400483,0.0494700133,3.27665e-05,0.048293397,0.0117750994,0.8843031104,10.02183,27.8,2.27,29486179,33.01,48.96,16.24,1.79,2011,19.2,21.1,17.3
United States,60656.14100000001,1056.5899999999997,59.58255072463729,35.608,332915074.0,38.3,15.413,9.732,54225.446,151.089,10.79,78.86,0.926,327096265,3717792.0,34.0,2019,0.0003503556,0.2365954867,0.001105485,0.0,0.0011051792,0.0054140025,0.002156246,0.0200910273,0.0002989945,0.0126452071,0.0003026632,0.0250449206,0.00336109,0.0042935373,3.21006e-05,0.0035851831,0.0004212827,0.0018618372,0.0138641143,9.4773e-06,0.0237602835,0.0004671408,0.0017456635,0.2927135227,0.0326980193,0.0687834207,0.0205707026,0.0395427933,4.00494e-05,0.0439989738,0.0098475597,0.8667063196,7.67611,36.2,2.49,132736055,27.89,49.49,18.81,3.81,2015,25.1,30.9,19.3
Uruguay,5485.853999999999,51.94300000000001,50.040918367347025,19.751,3485152.0,35.6,14.655,10.361,20551.409,160.708,6.93,77.91,0.817,3449285,68037.0,20.0,2019,0.0004058812,0.2923504436,0.0019424315,0.0,0.0020583976,0.0061462013,0.0051314983,0.0004348727,0.0016235249,0.0162352488,0.0002899152,0.0462414674,0.0042907443,0.0032180582,0.0,0.0047836001,0.0001739491,0.0038848631,0.0193083494,0.0,0.0259474065,0.0004638643,0.0030151176,0.2900021309,0.028672609,0.0624767162,0.0136550039,0.0448208832,2.89915e-05,0.0434002989,0.010118039,0.9311205076,9.57094,27.9,2.78,1269537,23.52,47.68,23.37,5.43,2011,21.8,25.2,18.4
Uzbekistan,2270.7630000000004,18.067999999999994,61.42065068493162,76.134,33935765.0,28.2,4.469,2.873,6253.104,724.417,7.57,71.72,0.72,32476244,172741.0,73.0,2019,0.0005388554,0.0687825846,0.0021061549,0.0,0.0049174406,0.0029991153,0.0018013167,0.0005788847,0.00752858,0.0151772477,0.0007020516,0.0332150479,0.0161872167,0.0004803511,0.0,0.000495747,0.0005480929,0.0001262461,0.0116793063,0.0,0.0251075833,0.001133136,2.77126e-05,0.3306847922,0.0122273992,0.0118147899,0.0401585848,0.0462461115,0.0004002926,0.0034455955,0.0016750706,0.6407853076,36.352,16.6,5.24,6586983,5.26,18.90,33.62,42.22,1996,12.3,23.3,1.3
Yemen,68.85300000000008,20.01700000000002,38.366917293232966,53.508,30490639.0,20.3,2.922,1.583,1479.147,495.003,5.35,66.12,0.47,28498683,203848.0,54.0,2019,0.0016807794,0.0444967931,0.0029439957,0.0178569655,0.0029580314,0.0028773259,0.0012176001,0.0009158318,0.0036106932,0.0411141806,0.0059827326,0.0220676864,0.0666065867,0.0002877326,0.0,0.02320809,0.0001508842,0.0035440234,0.0054739372,0.0470267345,0.0063687154,0.0015790203,0.003301907,0.1956300928,0.0093899076,0.0201342637,0.0097758903,0.0171130715,0.0018351725,0.0060739649,0.0014491898,0.5666718002,44.64506,17.1,6.67,4469863,1.87,14.68,23.66,59.79,2013,20.9,32.5,9.3
Zambia,1095.3700000000015,20.51900000000002,47.912941176470795,22.995,18920657.0,17.7,2.48,1.542,3689.251,234.499,3.94,63.89,0.584,17351708,290583.0,23.0,2019,0.0119008457,0.0564151956,0.0018787776,0.027530431,0.0020689606,0.0093132042,0.1299007567,0.0003457873,0.0406645847,0.0131687324,0.0046335496,0.0471999644,0.0567725091,0.0007895476,2.30525e-05,0.0416327891,0.0004841022,0.0109441676,0.0080568437,5.7631e-06,0.0148285114,0.0017808045,0.010534986,0.1046409956,0.0111285875,0.0137623339,0.0264700167,0.0376216566,0.0015157009,0.0043972616,0.0011699136,0.6915803332,25.92371,8.1,5.13,3485901,7.17,21.41,30.06,41.35,2013,14.7,25.0,4.4
Zimbabwe,918.819,24.052999999999994,75.82592334494753,42.729,15092171.0,19.6,2.822,1.882,1899.775,307.846,1.82,61.49,0.571,14438802,150871.0,37.0,2019,0.0100423844,0.0855541893,0.0045848679,0.0143225179,0.005727622,0.0099315719,0.1435160618,0.0008795744,0.0724783123,0.0176884481,0.0089619624,0.0893218149,0.0596240602,0.0003670665,0.0045710163,0.0321010012,0.0002562539,0.0199739563,0.016642655,7.61836e-05,0.0239632069,0.0028049419,0.0197731086,0.1233481836,0.0158738931,0.0200224368,0.0143017405,0.0307296963,0.0009419064,0.0056237353,0.0016067815,0.8556111511,20.84664,15.5,4.08,3795226,12.37,31.14,33.76,22.72,2015,13.9,26.5,1.3
