location,new_cases_per_million,new_deaths_per_million,total_deaths_per_million,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,people_vaccinated_per_hundred,population_density_cov,population_cov,median_age_cov,gdp_per_capita_cov,diabetes_prevalence_cov,life_expectancy_cov,Population,Area_km2,Density_km2,Year_x,Meningitis,Neoplasms,"Fire, heat, and hot substances",Malaria,Drowning,Interpersonal violence,HIV/AIDS,Drug use disorders,Tuberculosis,Road injuries,Maternal disorders,Lower respiratory infections,Neonatal disorders,Alcohol use disorders,Exposure to forces of nature,Diarrheal diseases,Environmental heat and cold exposure,Nutritional deficiencies,Self-harm,Conflict and terrorism,Diabetes mellitus,Poisonings,Protein-energy malnutrition,Cardiovascular diseases,Chronic kidney disease,Chronic respiratory diseases,Cirrhosis and other chronic liver diseases,Digestive diseases,Acute hepatitis,Alzheimer's disease and other dementias,Parkinson's disease,Total_death_ratio,air_polution,Obesity_rate
Greece,103310.39400000003,1534.035,1530.1689999999999,166.5,67.61,72.02,83.479,10370747.0,45.3,24574.382,4.55,82.24,10522246,50949.0,80.0,2019,0.0002851102,0.334852464,0.0010263968,0.0,0.0035448706,0.0012354777,0.0002090808,0.0017676834,0.0013020034,0.0121456959,3.80147e-05,0.0566133884,0.0013305144,0.0003991543,0.0,0.0004181617,0.0002280882,9.50367e-05,0.0047518372,0.0,0.0129820192,0.0001995772,3.80147e-05,0.5314549764,0.043754917,0.0608140125,0.0129820192,0.0387274732,0.0003706433,0.0664877061,0.0148922578,1.2029465952,14.3205,24.9
Guatemala,26856.25299999998,618.475,618.087,61.98,25.68,35.81,157.834,18249868.0,22.9,7423.808,10.18,74.3,17247849,42042.0,158.0,2019,0.0014030735,0.0730815767,0.0010204171,0.0,0.0023597145,0.036485709,0.0038787445,0.0012639257,0.0024292884,0.0162049192,0.0029279013,0.0572535161,0.0164310344,0.0102563514,0.0,0.016906456,0.0002377108,0.0107085817,0.0055253267,0.0,0.0386772867,0.001420467,0.0101114058,0.0920810473,0.0348913073,0.0146626979,0.0320097886,0.0496873552,8.69674e-05,0.0112535772,0.0023539167,0.5456100642,27.81365,21.2
Guinea,1356.7959999999996,22.950000000000003,22.968,21.87,6.86,15.02,51.755,13497237.0,19.0,1998.926,2.42,61.6,12414293,94925.0,50.0,2019,0.0262600536,0.0678733779,0.0031415402,0.0913221558,0.0041162231,0.0079505132,0.0325189683,0.0001369389,0.0354107962,0.018188712,0.0179148341,0.1091403272,0.0880597872,0.0006444185,0.0,0.0518595783,0.0007733022,0.0140241575,0.0064844611,0.000104718,0.0161829594,0.0022151886,0.0135730645,0.1171794479,0.0155707619,0.0224499293,0.0191875607,0.0315362301,0.0020943601,0.0074994202,0.002126581,0.8255403671,52.82294,7.7
Guinea-Bissau,2000.4860000000006,51.590999999999994,51.60000000000001,20.54,1.15,19.39,66.191,2015490.0,19.4,1548.675,2.42,58.32,1874303,13948.0,52.0,2019,0.0142452955,0.0520726905,0.0025075988,0.0311582492,0.0030944837,0.0097102763,0.053513226,0.0002134127,0.0382008672,0.0243823971,0.0081096813,0.0598088996,0.0826440549,0.0008002975,0.0,0.0649841568,0.0008002975,0.0053353166,0.0086965661,0.0,0.0171797196,0.0018140077,0.0049618445,0.1181239106,0.0156324778,0.0205943223,0.0239555718,0.03942799,0.0018140077,0.0042149002,0.0014938887,0.7094904079,54.01773,9.5
Guyana,42039.45000000003,1126.122000000001,1126.113,90.56,37.22,51.94,3.952,790329.0,26.3,7435.047,11.62,69.91,779006,83000.0,4.0,2019,0.0007702123,0.1001275985,0.0020538995,0.0021822682,0.0080872291,0.0229780002,0.0232347376,0.0002567374,0.0078304917,0.0200255197,0.0030808492,0.0336326036,0.0246467935,0.0034659553,0.0,0.0078304917,0.0005134749,0.0062900671,0.032092179,0.0,0.072785062,0.0002567374,0.0055198548,0.31193598,0.0365850841,0.0152758772,0.0322205477,0.0504489054,0.0002567374,0.0101411286,0.0032092179,0.8377342408,20.40551,20.2
Haiti,1383.6779999999997,45.923000000000016,45.919999999999995,1.71,0.64,1.07,398.448,11541683.0,24.3,1653.173,6.65,64.0,11123178,10714.0,401.0,2019,0.0089632657,0.0945503165,0.0045670401,0.0040725771,0.013080794,0.031636642,0.0531143168,0.0003775899,0.011561444,0.012280663,0.0140427493,0.0568452649,0.0526378343,0.0034432606,0.0,0.036770067,0.0014564183,0.0085676953,0.0091430704,0.0,0.0381635536,0.0015912718,0.0082260663,0.2379535777,0.0213158506,0.0307466086,0.0193379985,0.0394131965,0.0007371994,0.0068955113,0.0024813053,0.8239731487,19.32223,22.7
Honduras,25482.271,722.7320000000002,721.4549999999999,95.29,42.7,48.85,82.805,10062994.0,24.9,4541.795,7.21,75.27,9587522,43433.0,85.0,2019,0.0011368944,0.0807612228,0.0004797903,1.04302e-05,0.0023989515,0.0346387732,0.0009491504,0.0010847433,0.0058200649,0.0121616409,0.0026492768,0.0116922809,0.0168761021,0.0040573571,0.0,0.0123180943,5.21511e-05,0.0022737888,0.0025136839,0.0,0.0117548622,0.0005840925,0.0020651843,0.1566098101,0.0329907978,0.0368812713,0.0307900206,0.0590559271,0.0002294649,0.0110351768,0.0041825197,0.5380535242,22.92625,21.4
Hungary,96649.51400000008,3063.9989999999966,3052.16,156.47,62.09,65.04,108.043,9634162.0,43.4,26777.561,7.55,76.88,9707499,35917.0,104.0,2019,0.0005150657,0.3532629774,0.0013288696,0.0,0.0013494722,0.0014833893,0.0003811486,0.0006489828,0.0006283802,0.0082719555,0.0001030131,0.0125366997,0.0013906775,0.0055730111,0.0,0.0027607523,0.0021323721,0.0003502447,0.0195931001,0.0,0.0257223823,0.0004841618,0.000164821,0.6368066584,0.0187586937,0.0611486027,0.0361679151,0.0660623298,3.09039e-05,0.0499613752,0.0095493185,1.3171672745,16.59597,26.4
Iceland,57769.693,21.696,21.692999999999998,194.4,76.99,78.16,3.404,368792.0,37.3,46482.958,5.31,82.99,336713,39768.0,3.0,2019,0.0002969888,0.194230695,0.0005939777,0.0,0.0005939777,0.0005939777,0.0002969888,0.0041578436,0.0002969888,0.0032668771,0.0,0.0302928607,0.0011879553,0.0023759106,0.0,0.0014849442,0.0002969888,0.0005939777,0.0109885867,0.0,0.0077217096,0.0002969888,0.0005939777,0.2150199131,0.0098006314,0.0329657602,0.0050488101,0.0184133075,0.0,0.0448453134,0.0109885867,0.5972445376,6.37407,21.9
India,17622.821000000014,233.1640000000002,238.30100000000002,103.98,43.29,60.69,450.419,1393409033.0,28.2,6426.674,10.39,69.66,1352642280,1269212.0,411.0,2019,0.0025680108,0.0689455752,0.0019129965,0.0024671711,0.0039955871,0.0030277037,0.0034227823,0.0006258122,0.031245068,0.0156711795,0.0030934269,0.0320602872,0.0323813625,0.0017196712,0.0001526642,0.0467488714,0.0008389506,0.0019863345,0.0144410686,5.08634e-05,0.0201892994,0.0002916514,0.0009894708,0.1903245254,0.0164804844,0.0863776785,0.019963667,0.034370802,0.0022908496,0.0095377028,0.0033493704,0.6515208884,83.30377,3.9
Indonesia,12705.98,440.59800000000007,439.7819999999999,99.42,41.13,58.29,145.725,276361788.0,29.3,11188.744,6.32,71.72,267670543,737810.0,140.0,2019,0.0017614938,0.0857486959,0.0005435787,0.0002379791,0.0018720775,0.0008446951,0.0020932449,0.0002200466,0.028598216,0.0138244573,0.0019665967,0.0165565473,0.0142432557,0.0002439566,0.0002320016,0.0222620686,4.93144e-05,0.0076018824,0.0028609797,2.12948e-05,0.0397253276,0.000351178,0.0069641582,0.2433891278,0.0157398717,0.0377068014,0.0331265439,0.0472024297,0.0020771804,0.0091085854,0.0028452888,0.6400188757,19.67376,6.9
Iran,58368.15699999999,896.9760000000001,895.7909999999999,136.67,60.21,69.97,49.831,85028760.0,32.4,19082.62,9.59,76.68,81800188,628860.0,50.0,2019,0.0007053774,0.0816526241,0.0021552518,0.0,0.0010586773,0.0027004828,0.001438872,0.003567229,0.0009999977,0.0258214565,0.0002616131,0.0124926363,0.0089816419,0.0003056228,0.0001540339,0.0011760364,8.67969e-05,0.0002811729,0.0051002328,4.64547e-05,0.0180170735,0.0009510981,0.000211491,0.2122256736,0.0153373731,0.0205806373,0.008352059,0.0140366426,0.0005696808,0.0170048509,0.0034816546,0.4597544446,39.00154,25.8
Iraq,36366.446000000054,275.24399999999974,275.113,34.34,13.69,20.6,88.125,41179351.0,20.0,15663.986,8.83,70.6,38433600,168048.0,88.0,2019,0.001111007,0.0635199409,0.002484805,0.0,0.002151763,0.0125307023,0.000213355,0.0015221057,0.0024509804,0.0145783897,0.0009158653,0.0082688065,0.0189157404,0.0001483077,2.60189e-05,0.0016365888,3.90284e-05,0.0002705966,0.0053989218,0.0046287623,0.0240856958,0.0003252363,0.000236772,0.2080263103,0.0205211065,0.0085654219,0.0070771408,0.0095125099,0.0002966155,0.0084795596,0.0021907914,0.4301288456,49.61657,30.4
Ireland,139482.31800000006,735.3109999999999,734.5120000000002,196.22,77.25,78.36,69.874,4982904.0,38.7,67335.293,3.28,82.3,4818690,26959.0,69.0,2019,0.0002075253,0.2154942526,0.000705586,0.0,0.0009338638,0.0006640809,0.0001867728,0.0041505056,0.0006225758,0.0034449197,4.15051e-05,0.0355490808,0.0015356871,0.0019714902,0.0,0.0010168739,0.0001452677,0.0002075253,0.0090273498,0.0,0.0104177691,0.0002075253,0.0001245152,0.214726409,0.0145267697,0.0528774418,0.0080519809,0.024280458,2.07525e-05,0.0343869392,0.008446279,0.6439717019,7.84751,25.3
Israel,102833.06600000005,526.0059999999984,522.1189999999999,180.3,63.82,70.71,402.606,9291000.0,30.6,33132.32,6.74,82.97,8381516,8522.0,380.0,2019,0.0003340684,0.1745149684,0.0005965508,0.0,0.0005607577,0.0021953069,0.0004414476,0.000751654,0.0003102064,0.0072779197,0.0001073791,0.0207480365,0.0026964096,0.000775516,0.0,0.0046053721,0.0001908963,0.0006204128,0.0065024036,7.15861e-05,0.0315813989,9.54481e-05,0.0005130337,0.1478610791,0.0329892587,0.0241841691,0.009019848,0.0246614097,3.5793e-05,0.0331324309,0.0072182646,0.5345930259,19.42415,26.1
Italy,66199.67900000003,1039.9960000000003,1033.9509999999998,184.89,74.37,80.43,205.859,60367471.0,47.9,35220.084,4.78,83.51,60627291,116347.0,201.0,2019,0.0003051431,0.3167748333,0.0008296594,0.0,0.0005789472,0.000804918,0.0010242912,0.0009286247,0.0007026539,0.0086974033,2.96896e-05,0.0204412894,0.0009979004,0.0005789472,0.0,0.0016692153,0.000296896,0.0012750034,0.0071172568,0.0,0.0356110254,0.0001385515,0.0009319235,0.3900998974,0.0272369089,0.051701139,0.0205353065,0.0470464696,0.0001418503,0.080430775,0.0132547568,1.030181276,15.84764,19.9
Jamaica,27242.647000000004,729.7890000000014,729.7890000000001,40.65,19.06,23.96,266.879,2973462.0,31.4,8193.571,11.28,74.47,2934847,4244.0,267.0,2019,0.0007155399,0.1478100903,0.0006473932,0.0,0.0004429532,0.0143107971,0.0142426505,0.00020444,0.0003407333,0.0062354187,0.0009540531,0.0161848301,0.0136293306,0.0003066599,0.0,0.0014992264,3.40733e-05,0.0022147662,0.0030325261,0.0,0.0817419102,0.00010222,0.0019762529,0.2200114691,0.0319948536,0.0218750756,0.0063035654,0.018263303,6.81467e-05,0.0265771947,0.0050769256,0.6367963986,16.24505,24.7
Japan,11846.736000000004,117.806,117.548,158.35,78.27,79.65,347.778,126050796.0,48.2,39002.223,5.72,84.63,127202192,145919.0,337.0,2019,0.000319963,0.3478509238,0.0012712045,0.0,0.0061901449,0.0005628834,0.0001265701,0.0003852135,0.0030282497,0.005378052,3.1446e-05,0.0933954031,0.0003687043,0.0005267205,6.2892e-05,0.0028851704,0.001677644,0.0014402268,0.0194752933,0.0,0.0069055414,0.0002468511,0.0010966792,0.292827501,0.0356314614,0.0438624517,0.0206348645,0.0477987046,8.17596e-05,0.1296156909,0.0131680121,1.0768462229,13.64744,4.3
Jordan,74752.986,857.1450000000008,854.609,80.49,38.31,42.18,109.285,10269022.0,23.2,8337.49,11.75,74.53,9965318,34490.0,112.0,2019,0.0008328886,0.0566263917,0.0019668213,0.0,0.0012944895,0.0035322506,0.0002709397,0.0001705916,0.0002910093,0.012663921,0.000762645,0.010576682,0.0158248839,0.0001705916,0.0,0.0006823666,3.01044e-05,0.0001806264,0.0026090487,4.01392e-05,0.0206014499,0.0006020882,0.0001605568,0.1183906023,0.0181930973,0.0085897911,0.0064624129,0.0110583526,0.0001103828,0.0076966937,0.0019266821,0.302318501,30.12999,35.5
Kazakhstan,45825.73699999998,814.0019999999995,814.0049999999999,92.14,44.83,47.31,6.681,18994958.0,30.6,24055.588,7.11,73.6,18319618,1052084.0,7.0,2019,0.0007423736,0.1150296911,0.0024945935,0.0,0.0049564352,0.0095635182,0.0014247022,0.0040885132,0.0041922272,0.0151804475,0.000294766,0.0219054786,0.0086955962,0.0092851281,0.0,0.0003220591,0.0040448442,0.0006604941,0.0233356394,0.0,0.0141269321,0.0025437212,0.0004585248,0.3569452158,0.0102240123,0.0533417236,0.0366001081,0.0485599645,0.0001146312,0.0126585609,0.0040448442,0.7658347461,21.045,21.0
Kenya,3608.460000000001,67.23800000000013,67.16300000000001,18.19,7.56,10.79,87.324,54985702.0,20.0,2993.028,2.92,66.7,51392565,228555.0,87.0,2019,0.0085537665,0.0453217309,0.0016130738,0.0156617986,0.0011947253,0.0089623859,0.0994988283,0.0001790142,0.0326525831,0.008940982,0.007329854,0.0418426284,0.0356413423,0.0006615743,0.0,0.0361219566,0.000472831,0.0089779524,0.0061390203,0.0001323149,0.0120289773,0.0016461525,0.0086821897,0.079021158,0.0092698234,0.014992441,0.0254803394,0.0403735443,0.0028720108,0.0052634073,0.001208346,0.5607367525,21.53547,7.1
Kuwait,61513.86699999999,353.8919999999997,353.697,160.39,74.31,77.03,232.128,4328553.0,33.7,65530.537,15.84,75.49,4137312,6880.0,232.0,2019,0.0002900434,0.039953477,0.0008217896,0.0,0.0005559165,0.0010151519,7.25108e-05,0.0005559165,0.0006284273,0.0140912747,7.25108e-05,0.0161457487,0.0049790782,0.0002417028,0.0,0.0001450217,7.25108e-05,2.41703e-05,0.0032629881,0.0,0.0088221531,0.0004592354,0.0,0.0995573938,0.007782831,0.005559165,0.0049307376,0.0081695555,2.41703e-05,0.0102723701,0.0014018764,0.2299077275,62.67314,37.9
Kyrgyzstan,15619.732999999998,218.18399999999983,217.85200000000003,34.02,14.95,18.58,32.333,6628347.0,26.3,3393.474,7.11,71.45,6304030,77200.0,32.0,2019,0.000602789,0.065830905,0.0012690295,0.0,0.0042036602,0.004711272,0.0026966877,0.0009993607,0.0064244618,0.0156566514,0.0009041835,0.0122461346,0.0207327694,0.0063927361,0.0,0.0014911097,0.0016497383,0.0001427658,0.0095177212,0.0,0.0051078437,0.0012214409,0.0001110401,0.2773146701,0.0077569428,0.0240005203,0.0339941276,0.03937164,0.0002855316,0.0114688541,0.0018242299,0.557928817,24.60486,16.6
Latvia,125906.44100000011,2102.9180000000006,2090.058,136.91,67.62,70.42,31.212,1866934.0,43.9,25063.846,4.91,75.29,1928459,24927.0,30.0,2019,0.000414839,0.2904391537,0.0058596009,0.0,0.0063262947,0.007052263,0.0061188752,0.0026445986,0.0027483084,0.0098005713,0.0001037097,0.0181492062,0.0014000816,0.0147786393,0.0,0.0002074195,0.0055484716,0.0002592744,0.0203271109,0.0,0.0173713831,0.0007778231,5.18549e-05,0.8182180695,0.0136378321,0.0224531608,0.0201196914,0.0490028567,5.18549e-05,0.0534623759,0.0098524262,1.3971777466,12.7076,23.6
Lebanon,80370.78400000013,1128.6369999999997,1127.172,64.7,27.05,33.28,594.561,6769151.0,31.1,13367.565,12.71,78.93,6859408,4036.0,656.0,2019,0.0004956696,0.1092368321,0.0013120666,0.0,0.0008018185,0.0031489598,0.0008892896,0.0018514717,0.0006122977,0.0064291262,0.0002478348,0.013266451,0.005831407,0.0002186778,4.37356e-05,0.0008892896,4.37356e-05,0.0002186778,0.0025658191,0.0002040992,0.0125229466,0.0005102481,0.0001749422,0.2380526133,0.0172026507,0.0172755433,0.0086887965,0.0139807983,0.0020701495,0.0182960395,0.003294745,0.4803767322,29.04762,32.0
Lesotho,11672.623999999996,284.37000000000023,277.897,38.48,33.7,36.23,73.562,2159067.0,22.2,2851.153,3.94,54.33,2108328,11720.0,69.0,2019,0.0076838139,0.1051069853,0.0058814378,0.0,0.0051699736,0.0356680744,0.5119222436,0.0003320167,0.1232256082,0.0437787669,0.0071146425,0.092063474,0.0537392664,0.0016126523,0.0,0.0678736895,0.0012332047,0.0092016043,0.0349091792,0.0,0.0601898756,0.0022292547,0.0089170186,0.1910518667,0.0265139011,0.0529329402,0.0187352253,0.040838048,0.0011383428,0.0061185926,0.0017549452,1.5169366436,27.79676,16.6
Liberia,864.4339999999994,39.37799999999999,39.379999999999995,16.99,14.58,15.15,49.127,5180208.0,19.2,752.788,2.42,64.1,4818973,43000.0,43.0,2019,0.0089645657,0.0426024383,0.0022203901,0.0951862565,0.0017846126,0.0026354163,0.0342811632,0.0001452592,0.0220378906,0.0104379087,0.0147956836,0.0402575404,0.0464829332,0.0006640419,0.0,0.0492428573,0.0003942749,0.006702673,0.0053745892,0.0,0.0131563302,0.0011828246,0.0062253928,0.0892098794,0.0133845946,0.0110811993,0.0198175005,0.0316249956,0.0013280838,0.0058933719,0.0014940943,0.5786087617,50.63222,9.9
Libya,41386.56799999998,606.8829999999998,606.8810000000001,38.51,11.87,26.65,3.623,6958538.0,29.0,17881.509,10.43,72.91,6678559,679358.0,4.0,2019,0.0006438515,0.0813798306,0.0020363674,0.0,0.0013775427,0.0019465277,0.0012727296,0.0030246046,0.0012577564,0.0322674397,0.0004042788,0.0125326436,0.0052256782,0.000359359,0.0,0.0010481303,7.48664e-05,0.0002695192,0.0051957316,0.0155572482,0.0134460143,0.0009882371,0.0002096261,0.1908645263,0.0205733003,0.017563669,0.0108406619,0.0168000313,0.000673798,0.0163807791,0.0030395778,0.4572543269,35.98622,32.5
Lithuania,139102.67599999998,2063.3070000000016,2044.3429999999998,153.6,68.11,71.3,45.135,2689862.0,43.5,29524.265,3.67,75.93,2801264,25212.0,43.0,2019,0.0005711707,0.2809446022,0.0021418902,0.0,0.0059972927,0.0053547256,0.0021775884,0.0060329908,0.0054261219,0.0093529207,7.13963e-05,0.0189557286,0.0010352469,0.0113163201,0.0,0.0004997744,0.0071396341,0.0001427927,0.0305933322,0.0,0.0084961646,0.0029629482,7.13963e-05,0.7604067307,0.0093529207,0.0278088749,0.0296294815,0.067183957,3.56982e-05,0.055046579,0.0098526951,1.3586009744,10.4691,26.3
Luxembourg,90342.99299999999,661.6130000000006,661.611,169.56,67.69,73.16,231.447,634814.0,39.7,94277.965,4.42,82.25,604245,998.0,234.0,2019,0.0001654958,0.2143170403,0.0004964874,0.0,0.0004964874,0.0011584705,0.0003309916,0.0024824368,0.0003309916,0.0062888398,0.0,0.0226729224,0.0009929747,0.004633882,0.0,0.0028134283,0.0001654958,0.0013239663,0.0114192091,0.0,0.0112537133,0.0001654958,0.0011584705,0.2204403843,0.0196939983,0.0365745683,0.0148946206,0.0350851062,0.0,0.0398844839,0.0094332597,0.6586732203,10.0889,22.6
Madagascar,1145.5449999999998,26.942999999999998,26.911,2.61,1.9,2.07,43.951,28427333.0,19.6,1416.44,3.94,67.04,26262313,226755.0,45.0,2019,0.0079353254,0.0419270001,0.0015421338,0.0225418073,0.0016639814,0.0019686004,0.0096335764,0.0001865791,0.0467133264,0.0111604793,0.0089405682,0.0520670057,0.0476119525,0.0006054303,0.0,0.0697349087,0.0005330833,0.0201238939,0.0057953768,0.0005292755,0.010844437,0.0014431326,0.0194346934,0.1347824923,0.0073793957,0.0229606585,0.0172262055,0.0273738265,0.0009481267,0.0032708467,0.0007920094,0.5976701291,17.8598,5.3
Malawi,3480.8749999999986,110.61500000000005,110.54799999999999,9.17,3.59,7.6,197.519,19647681.0,18.1,1095.042,3.94,64.26,18143217,45747.0,153.0,2019,0.0130572213,0.0557233042,0.0017692562,0.0390008012,0.0019621658,0.0018353967,0.0784149801,0.0002149564,0.0433274871,0.0114478044,0.0063439687,0.0507407259,0.0563295914,0.0006944744,0.0003251904,0.0418668861,0.0004684946,0.0113651289,0.0066636474,0.0,0.0137627191,0.0015983935,0.0109076577,0.0862581316,0.0098273641,0.0132391075,0.020343691,0.0322158964,0.0016535105,0.005616424,0.0011795042,0.6181538809,22.33194,5.8
Malaysia,80638.04300000005,946.2299999999997,945.931,176.27,78.21,79.37,96.254,32776195.0,29.9,26808.164,16.74,76.16,31528033,127723.0,95.0,2019,0.0009229881,0.0992576987,0.0009864237,1.58589e-05,0.0024549581,0.0018301173,0.0048242781,0.0004377057,0.0063181867,0.0240801575,0.000808804,0.0688625262,0.0041835785,0.0005582334,3.1718e-06,0.0043167932,4.12331e-05,0.0007580555,0.0057187202,0.0,0.0119861585,0.0006533868,0.0007295095,0.1865768156,0.0193637199,0.0237027156,0.0151706261,0.0319461731,0.0006406997,0.0116309191,0.0032320443,0.5320122572,16.55023,15.6
Maldives,150649.355,393.69499999999874,393.65700000000004,145.35,67.59,72.99,1454.433,543620.0,30.6,15183.616,9.19,78.92,515696,116.0,1719.0,2019,0.0003878254,0.0414973162,0.0009695635,0.0,0.0038782539,0.0019391269,0.0001939127,0.0003878254,0.0027147777,0.0042660792,0.0013573888,0.0067869442,0.014543452,0.0001939127,0.0,0.0021330396,0.0,0.0009695635,0.0038782539,0.0,0.01008346,0.0,0.0005817381,0.1012224256,0.0172582297,0.0238512612,0.0063991189,0.0095017219,0.0,0.0093078093,0.0021330396,0.2664360398,10.89224,8.6
Mali,661.9420000000005,18.671999999999983,18.412,5.07,1.88,4.21,15.196,20855724.0,16.4,2014.306,2.42,59.31,19077749,478838.0,15.0,2019,0.0328130955,0.048936591,0.0039784568,0.0943507539,0.0052050166,0.0121345553,0.0235667216,9.95925e-05,0.0295527528,0.0144513905,0.0184508141,0.0795901026,0.1677661238,0.0005241709,0.0,0.0727653981,0.0007023889,0.0779179976,0.004963898,0.006132799,0.014440907,0.0029615653,0.0761882337,0.1023129091,0.0141421297,0.0239755749,0.0171246618,0.0327397116,0.0021543422,0.0064263347,0.0017035553,0.9880725446,60.6721,8.6
Malta,76659.55699999993,497.9809999999992,496.028,207.76,84.46,86.15,1454.037,516100.0,42.4,36513.323,8.83,82.53,439248,122.0,1390.0,2019,0.0004553236,0.2281171457,0.0004553236,0.0,0.0009106473,0.0011383091,0.0002276618,0.0020489564,0.0002276618,0.0034149273,0.0,0.0437110698,0.00250428,0.0006829855,0.0,0.0006829855,0.0002276618,0.0002276618,0.0054638837,0.0,0.0280024041,0.0002276618,0.0002276618,0.3394437766,0.0239044913,0.0357429061,0.0091064729,0.0282300659,0.0,0.0500856008,0.0118384147,0.8173059411,13.0654,28.9
Mauritania,5631.702999999999,108.23899999999998,107.432,40.57,16.06,24.42,4.289,4775110.0,20.3,3597.633,2.42,64.92,4403313,397953.0,4.0,2019,0.0049281075,0.0468737971,0.0012944799,0.0453522155,0.0009765374,0.0045420346,0.0004769136,0.0001135509,0.0109463034,0.0189857046,0.0113550865,0.0408101809,0.0429676473,0.0004087831,0.0,0.0349509562,0.0002725221,0.0063361383,0.0035200768,0.0,0.0141938581,0.0007267255,0.0059500653,0.0897506037,0.0133990021,0.0119228408,0.0136942343,0.0233006375,0.0005904645,0.00788043,0.0019303647,0.4584502623,66.54714,12.7
Mauritius,53362.264,609.379,609.379,159.95,71.45,74.41,622.962,1273428.0,37.4,20292.745,22.02,74.99,1267185,760.0,644.0,2019,0.0003945754,0.1197141696,0.0016572166,0.0,0.0029198578,0.0025252824,0.0071812719,0.0011048111,0.0011837261,0.0130209875,0.0005524055,0.0228064568,0.0068656116,0.0059975457,0.0,0.0023674523,0.0,0.0012626412,0.0089174035,0.0,0.1498597285,0.0003156603,0.0012626412,0.261129985,0.0994329952,0.0423773956,0.0207546649,0.0314082001,7.89151e-05,0.0254895694,0.0049716498,0.8355528198,15.26528,10.8
Mexico,19518.60000000002,1294.6909999999993,1324.8429999999998,114.24,55.87,62.89,66.444,130262220.0,29.3,17336.469,13.06,75.05,126190788,758445.0,64.0,2019,0.0004136594,0.0843334143,0.0009089412,7.925e-07,0.0018804859,0.0243068456,0.0039891977,0.0004723007,0.0020572025,0.0167230908,0.0008075074,0.0179030501,0.0098137116,0.003580293,0.0,0.0039083677,0.0001204525,0.0059893437,0.0061850791,0.0,0.0585129875,0.0003732444,0.0053450811,0.1327632569,0.0574835938,0.0305283774,0.036712664,0.0563622758,0.0001917731,0.0187470103,0.0039408582,0.584354858,20.10763,28.9
Moldova,57379.61700000004,1661.5630000000017,1802.9220000000003,44.15,24.41,24.6,123.655,4024025.0,37.6,5189.972,5.72,71.9,4051944,13068.0,120.0,2019,0.0004935902,0.1541235516,0.0023939127,0.0,0.0041214785,0.0051333385,0.0040227604,0.0006910263,0.0045410302,0.0088846243,0.0001480771,0.0215205343,0.0035044907,0.0108343057,0.0,0.0001974361,0.0047631458,4.9359e-05,0.013549052,0.0,0.0070089814,0.0044423121,2.46795e-05,0.578438399,0.0060464804,0.023963806,0.0677452601,0.0866991252,2.46795e-05,0.0310715054,0.0040227604,1.0484597023,13.95982,18.9
Mongolia,116577.39199999998,618.1439999999994,618.152,160.41,64.99,68.06,1.98,3329282.0,28.6,11840.846,4.82,69.87,3170216,603905.0,2.0,2019,0.0007570462,0.1880313518,0.0031228156,0.0,0.0050154311,0.0090845545,0.0004731539,0.0006308718,0.0117026726,0.0211972938,0.0012932873,0.0167181038,0.0178221295,0.0184214577,0.0003785231,0.001545636,0.0082959647,0.0004731539,0.0186738065,0.0,0.0043845593,0.0028073797,0.0,0.309316463,0.0123335445,0.0142892472,0.0522361883,0.0689227485,0.0004731539,0.0070973082,0.0016718104,0.7971696566,42.28819,20.6
Montenegro,193368.0549999999,2749.7660000000024,2749.776,101.03,43.44,45.2,46.28,628051.0,39.1,16409.288,10.08,76.88,627809,5333.0,45.0,2019,0.0001592841,0.2618630826,0.0019114094,0.0,0.001433557,0.0033449664,0.0001592841,0.0001592841,0.0006371365,0.0093977627,0.0,0.0109906038,0.0020706935,0.0012742729,0.0,0.0001592841,0.0007964206,0.0001592841,0.0186362413,0.0,0.0242111852,0.0004778523,0.0001592841,0.6280572595,0.0202290824,0.0135391496,0.0079642057,0.0243704694,0.0,0.029467561,0.0090791945,1.0707078108,22.3224,23.3
Morocco,13981.11099999998,198.79199999999994,198.07300000000004,134.6,61.57,65.95,80.08,37344787.0,29.6,7485.013,7.14,76.68,36029093,172413.0,81.0,2019,0.0011102139,0.0776233806,0.0022426321,0.0,0.0009825393,0.0009714372,0.0013711142,0.0011296426,0.0109134027,0.0254905112,0.0015737282,0.0173415412,0.014252371,0.0003080844,0.0,0.0038163603,0.0002886556,0.00059674,0.0071220222,0.0,0.0183657135,0.0006439241,0.0004746164,0.3248319351,0.025867984,0.0260150873,0.0126314587,0.020600019,0.0010713564,0.0137250194,0.0038579933,0.6152194839,34.99173,26.1
Mozambique,5294.460000000004,57.15599999999999,57.147,45.76,18.92,26.84,37.728,32163045.0,17.7,1136.103,3.3,60.85,29496004,309494.0,37.0,2019,0.0092521007,0.0458740106,0.0023291291,0.069595868,0.0024274475,0.0061398147,0.2247897715,0.0004576891,0.0701789978,0.0168802527,0.0070246804,0.0526308581,0.0824416758,0.0008746948,0.0021799563,0.0300616992,0.0005424464,0.0119677228,0.008272307,0.0005390561,0.0159750453,0.0020951991,0.0113981541,0.1074450627,0.0089673164,0.0127440992,0.008635068,0.0238472981,0.0016307294,0.005183753,0.0011560888,0.8435379925,20.71532,7.2
